project_id,project_themes
3100,Food Waste Management
3100,Youth
3100,Coffee
3100,Olives
3177,Alternative Energy
3177,Clean Energy
3177,Climate Change
3177,Community Empowerment
3176,Alternative Energy
3176,Electricity
3176,Polution Reduction
2261,Clean Energy
2261,Community Empowerment
2261,Rural Electrification
2261,Social Justice
2261,Welfare
3236,Innovation
3236,Polution Reduction
3236,Solar Energy
3240,Alternative Energy
3240,Biogas
3240,Environment Friendly
4384,Affordable Energy
4384,Alternative Energy
4384,Sustainable Energy
4384,"Sustainable Manufacturing, Cooperativism"
4384,The Vulnerable Members Of Our Society
4509,Accessibility
4509,Inclusion
4509,Solar Water Heater
4509,Sustainable Energy
4509,The Vulnerable Members Of Our Society
4510,Accessibility
4510,Solar Water Heater
4510,Sustainable Energy
4510,The Vulnerable Members Of Our Society
4546,Construction
4546,Inclusion
4546,Movilidad
4546,Renewable Energy
4546,Sustainability Strategy
4548,Reneweable Energy
4548,Accessibility
4548,Inclusion
4548,Reneweable Energy
4548,Sustainability Strategy
4551,Reneweable Energy
4551,Access
4551,Affordable Energy
4551,Inclusion
4551,Reneweable Energy
4552,Reneweable Energy
4552,Affordable Energy
4552,Alternative Energy
4552,Inclusion
4553,Accessibility
4553,Alternative Energy
4553,Community
4553,Inclusion
4553,Renewable Energy
4559,Alternative Energy
4559,Cooling
4559,Food Preservation
4559,Food Waste
4562,Accessibility
4562,Alternative Energy
4562,Inclusion
4562,Renewable Energy
4589,Reneweable Energy
4589,Alternative Energy
4590,Reneweable Energy
4590,Accessibility
4590,Alternative Energy
4591,Reneweable Energy
4591,Alternative Energy
4592,Reneweable Energy
4592,Alternative Energy
4645,Reneweable Energy
4645,Alternative Energy
4645,Solar Energy
4646,Reneweable Energy
4646,Affordable Energy
4646,Green Infraestructure
4646,Wind Energy
4742,Energy Efficiency
4742,Renewable Energy
4742,Solar Energy
4766,Reneweable Energy
4766,Affordable Energy
4766,Eco-Efficient Cooking
4769,Reneweable Energy
4769,Affordable Energy
4769,Biodigestion
4770,Energy Efficiency
4770,Renewable Energy
4770,Solar Energy
4771,Eco-Efficient Cooking
4771,Energy Efficiency
4771,Renewable Energy
4772,Affordable Energy
4772,Gender
4772,Inclusion
4772,Renewable Energy
4772,Sustainable Energy
4773,Affordable Energy
4773,Alternative Energy
4773,Food Preservation
4779,Affordable Energy
4779,Clean Cooking
4779,Renewable Energy
4779,Solar Energy
4779,Sustainable Energy
4780,Community
4780,Education
4780,Renewable Energy
4780,Sustainable Energy
5319,Reneweable Energy
5319,Biogas
5319,Sustainable Energy
5319,Biofertilizer
2314,Clean Energy
2314,Water
4371,Alternative Energy
4371,Clean Energy
4371,Climate Change
4563,Alternative Energy
4563,Electricity
4563,Energy
4564,Reneweable Energy
4564,Biogas
4564,Nature-Based Solutions
4564,Sustainable Energy
4564,Waste Management
4633,Solar Energy
4672,Solar Energy
4673,Biofuel
4675,Irrigation
4675,Solar Energy
4688,Solar Energy
5299,Circular Economy
5299,Energy
5299,Solar Energy
5299,Batteries
2993,Circular Economy
